id;aggregation;cosistencyCheck;scoreType;countPairs;evalScore
1;averageWeighted;False;accuracy score;1560;0.4198717948717949
1;averageWeighted;True;accuracy score;1516;0.42150395778364114
1;majorityWeighted;False;accuracy score;1560;0.4519230769230769
1;majorityWeighted;True;accuracy score;1516;0.4551451187335092
1;majorityUnweighted;False;accuracy score;1560;0.45576923076923076
1;majorityUnweighted;True;accuracy score;1482;0.45951417004048584
2;averageWeighted;False;accuracy score;1869;0.37720706260032105
2;averageWeighted;True;accuracy score;1814;0.37596471885336274
2;majorityWeighted;False;accuracy score;1869;0.40823970037453183
2;majorityWeighted;True;accuracy score;1814;0.4079382579933848
2;majorityUnweighted;False;accuracy score;1869;0.41091492776886035
2;majorityUnweighted;True;accuracy score;1774;0.4109357384441939
3;averageWeighted;False;accuracy score;751;0.422103861517976
3;averageWeighted;True;accuracy score;728;0.4230769230769231
3;majorityWeighted;False;accuracy score;751;0.4474034620505992
3;majorityWeighted;True;accuracy score;728;0.4478021978021978
3;majorityUnweighted;False;accuracy score;751;0.44873501997336884
3;majorityUnweighted;True;accuracy score;713;0.45161290322580644
4;averageWeighted;False;accuracy score;1885;0.23076923076923078
4;averageWeighted;True;accuracy score;1830;0.23387978142076501
4;majorityWeighted;False;accuracy score;1885;0.2790450928381963
4;majorityWeighted;True;accuracy score;1830;0.2814207650273224
4;majorityUnweighted;False;accuracy score;1885;0.2774535809018568
4;majorityUnweighted;True;accuracy score;1790;0.28268156424581004
5;averageWeighted;False;accuracy score;1560;0.39871794871794874
5;averageWeighted;True;accuracy score;1516;0.39907651715039577
5;majorityWeighted;False;accuracy score;1560;0.4269230769230769
5;majorityWeighted;True;accuracy score;1516;0.4287598944591029
5;majorityUnweighted;False;accuracy score;1560;0.4307692307692308
5;majorityUnweighted;True;accuracy score;1482;0.4298245614035088
6;averageWeighted;False;accuracy score;1885;0.1989389920424403
6;averageWeighted;True;accuracy score;1830;.20382513661202187
6;majorityWeighted;False;accuracy score;1885;0.2557029177718833
6;majorityWeighted;True;accuracy score;1830;0.25901639344262295
6;majorityUnweighted;False;accuracy score;1885;0.2530503978779841
6;majorityUnweighted;True;accuracy score;1790;0.25865921787709495
7;averageWeighted;False;accuracy score;1869;0.36918138041733545
7;averageWeighted;True;accuracy score;1814;0.3715545755237045
7;majorityWeighted;False;accuracy score;1869;0.40663456393793473
7;majorityWeighted;True;accuracy score;1814;0.4079382579933848
7;majorityUnweighted;False;accuracy score;1869;0.4071696094168004
7;majorityUnweighted;True;accuracy score;1774;0.4120631341600902
8;averageWeighted;False;accuracy score;751;0.3848202396804261
8;averageWeighted;True;accuracy score;728;0.38324175824175827
8;majorityWeighted;False;accuracy score;751;0.41011984021304926
8;majorityWeighted;True;accuracy score;728;0.4107142857142857
8;majorityUnweighted;False;accuracy score;751;0.41145139813581894
8;majorityUnweighted;True;accuracy score;713;0.41514726507713884